#rooms
States:
Entrance Hall
Dining Room , S
Kitchen
Armoury
Treasury
Library
Pantry
Throne Room
Wizard's Study
Secret Exit , F
End

#commands
Sigma:
Entrance Hall
Dining Room
Kitchen
Armoury
Treasury
Library
Pantry
Throne Room
Wizard's Study
Secret Exit
drop key
drop invitation
drop chef's hat
drop spoon
drop sword
drop crown
drop ancient coin
drop spell book
drop magic wand
take key
take invitation
take chef's hat
take spoon
take sword
take crown
take ancient coin
take spell book
take magic wand
End

#items
SigmaS:
key
invitation
chef's hat
spoon
sword
crown
ancient coin
spell book
magic wand
End

#transitions / actions
Delta:

#movement
Pantry , Kitchen , chef's hat := Kitchen , epsilon , epsilon
Kitchen , Pantry , spoon := Pantry , epsilon , epsilon
Kitchen , Dining Room , epsilon := Dining Room , epsilon , epsilon
Dining Room , Kitchen , chef's hat := Kitchen , epsilon , epsilon
Dining Room , Entrance Hall , invitation := Entrance Hall , epsilon , epsilon
Entrance Hall , Dining Room , epsilon := Dining Room , epsilon , epsilon
Dining Room , Treasury , sword := Treasury , epsilon , epsilon
Treasury , Dining Room , epsilon := Dining Room , epsilon , epsilon
Entrance Hall , Armoury , key := Armoury , epsilon , epsilon
Armoury , Entrance Hall , invitation := Entrance Hall , epsilon , epsilon
Armoury , Treasury , sword := Treasury , epsilon , epsilon
Treasury , Armoury , key := Armoury , epsilon , epsilon
Armoury , Throne Room , crown := Throne Room , epsilon , epsilon
Throne Room , Armoury , key := Armoury , epsilon , epsilon
Throne Room , Wizard's Study , spell book := Wizard's Study , epsilon , epsilon
Wizard's Study , Throne Room , crown := Throne Room , epsilon , epsilon
Wizard's Study , Treasury , sword := Treasury , epsilon , epsilon
Treasury , Wizard's Study , spell book := Wizard's Study , epsilon , epsilon
Treasury , Library , ancient coin := Library , epsilon , epsilon
Library , Treasury , sword := Treasury , epsilon , epsilon
Library , Secret Exit , magic wand := Secret Exit , epsilon , epsilon
Secret Exit , Library , ancient coin := Library , epsilon , epsilon
Wizard's Study , Secret Exit , magic wand := Secret Exit , epsilon , epsilon
Secret Exit , Wizard's Study , spell book := Wizard's Study , epsilon , epsilon


#drop commands
Entrance Hall , drop key , key := Entrance Hall , key , epsilon
Entrance Hall , drop invitation , invitation := Entrance Hall , invitation , epsilon
Entrance Hall , drop chef's hat , chef's hat := Entrance Hall , chef's hat , epsilon
Entrance Hall , drop spoon , spoon := Entrance Hall , spoon , epsilon
Entrance Hall , drop sword , sword := Entrance Hall , sword , epsilon
Entrance Hall , drop crown , crown := Entrance Hall , crown , epsilon
Entrance Hall , drop ancient coin , ancient coin := Entrance Hall , ancient coin , epsilon
Entrance Hall , drop spell book , spell book := Entrance Hall , spell book , epsilon
Entrance Hall , drop magic wand , magic wand := Entrance Hall , magic wand , epsilon
Dining Room , drop key , key := Dining Room , key , epsilon
Dining Room , drop invitation , invitation := Dining Room , invitation , epsilon
Dining Room , drop chef's hat , chef's hat := Dining Room , chef's hat , epsilon
Dining Room , drop spoon , spoon := Dining Room , spoon , epsilon
Dining Room , drop sword , sword := Dining Room , sword , epsilon
Dining Room , drop crown , crown := Dining Room , crown , epsilon
Dining Room , drop ancient coin , ancient coin := Dining Room , ancient coin , epsilon
Dining Room , drop spell book , spell book := Dining Room , spell book , epsilon
Dining Room , drop magic wand , magic wand := Dining Room , magic wand , epsilon
Kitchen , drop key , key := Kitchen , key , epsilon
Kitchen , drop invitation , invitation := Kitchen , invitation , epsilon
Kitchen , drop chef's hat , chef's hat := Kitchen , chef's hat , epsilon
Kitchen , drop spoon , spoon := Kitchen , spoon , epsilon
Kitchen , drop sword , sword := Kitchen , sword , epsilon
Kitchen , drop crown , crown := Kitchen , crown , epsilon
Kitchen , drop ancient coin , ancient coin := Kitchen , ancient coin , epsilon
Kitchen , drop spell book , spell book := Kitchen , spell book , epsilon
Kitchen , drop magic wand , magic wand := Kitchen , magic wand , epsilon
Armoury , drop key , key := Armoury , key , epsilon
Armoury , drop invitation , invitation := Armoury , invitation , epsilon
Armoury , drop chef's hat , chef's hat := Armoury , chef's hat , epsilon
Armoury , drop spoon , spoon := Armoury , spoon , epsilon
Armoury , drop sword , sword := Armoury , sword , epsilon
Armoury , drop crown , crown := Armoury , crown , epsilon
Armoury , drop ancient coin , ancient coin := Armoury , ancient coin , epsilon
Armoury , drop spell book , spell book := Armoury , spell book , epsilon
Armoury , drop magic wand , magic wand := Armoury , magic wand , epsilon
Treasury , drop key , key := Treasury , key , epsilon
Treasury , drop invitation , invitation := Treasury , invitation , epsilon
Treasury , drop chef's hat , chef's hat := Treasury , chef's hat , epsilon
Treasury , drop spoon , spoon := Treasury , spoon , epsilon
Treasury , drop sword , sword := Treasury , sword , epsilon
Treasury , drop crown , crown := Treasury , crown , epsilon
Treasury , drop ancient coin , ancient coin := Treasury , ancient coin , epsilon
Treasury , drop spell book , spell book := Treasury , spell book , epsilon
Treasury , drop magic wand , magic wand := Treasury , magic wand , epsilon
Library , drop key , key := Library , key , epsilon
Library , drop invitation , invitation := Library , invitation , epsilon
Library , drop chef's hat , chef's hat := Library , chef's hat , epsilon
Library , drop spoon , spoon := Library , spoon , epsilon
Library , drop sword , sword := Library , sword , epsilon
Library , drop crown , crown := Library , crown , epsilon
Library , drop ancient coin , ancient coin := Library , ancient coin , epsilon
Library , drop spell book , spell book := Library , spell book , epsilon
Library , drop magic wand , magic wand := Library , magic wand , epsilon
Pantry , drop key , key := Pantry , key , epsilon
Pantry , drop invitation , invitation := Pantry , invitation , epsilon
Pantry , drop chef's hat , chef's hat := Pantry , chef's hat , epsilon
Pantry , drop spoon , spoon := Pantry , spoon , epsilon
Pantry , drop sword , sword := Pantry , sword , epsilon
Pantry , drop crown , crown := Pantry , crown , epsilon
Pantry , drop ancient coin , ancient coin := Pantry , ancient coin , epsilon
Pantry , drop spell book , spell book := Pantry , spell book , epsilon
Pantry , drop magic wand , magic wand := Pantry , magic wand , epsilon
Throne Room , drop key , key := Throne Room , key , epsilon
